trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,profit_per_trade,win_rate_ignore_sales,avg_trade_size_ignore_sales,total_trade_volume_ignore_sales,total_trade_number_ignore_sales,frequency_ignore_sales,net_gains_loss_ignore_sales,avg_odds_ignore_sales,profit_per_trade_ignore_sales
0x0F0F0A849f8BE408565B803445B2C525A34d5f7B,1.0,1.781657775,213.798933,120,0.502092050209205,1.2431660991046507,0.6736165041929051,0.010359717492538755,1.0,2.6332635679012344,213.29434899999998,81,0.3389121338912134,0.7385820991046507,0.9956540797238658,0.009118297519810503
0xb0c673d2E817018EF00c4C6a390154F18A79C353,0.5172413793103449,20.75523875862069,3611.411544,174,0.47411444141689374,1.7238303063745402,0.4968850238493495,0.00990707072629046,0.47674418604651164,21.01766201162791,1807.518933,86,0.23433242506811988,-151.1928878569218,0.5229185063203272,-1.7580568355456023
0x864AC03Ff7f11571A99908D2D40393998358D0F5,0.6568047337278107,2.155379591715976,364.259151,169,0.4747191011235955,-119.3351232266756,0.31466264688243883,-0.7061249895069562,0.48148148148148145,2.2659256481481482,244.71997,108,0.30337078651685395,-238.78458055688478,0.46905498715245586,-2.210968338489674
0x29f9fb43a988e837E1dD000c80A022A46D2a65BB,0.5662867426514697,48.38479951859628,322629.84319,6668,18.318681318681318,3494.8327234480435,0.7098136942278332,0.5241200845003064,0.7860048820179008,53.42418111933822,196974.955787,3687,10.12912087912088,-1128.889515196106,0.7453739062538095,-0.3061810456186889
0x58dDA9B9D5Ba99CD13b2C45276B6e8A32c0e6e98,0.5034642032332564,12.902960739030023,5586.982,433,72.16666666666667,-63.38498716111836,0.5079111844992265,-0.1463856516423057,0.5035714285714286,12.582802178571427,3523.18461,280,46.666666666666664,-149.86525337,0.5080571428571429,-0.53523304775
0xabD753EE3767C4a46C3cb981B7983F2fd616c531,0.5791324736225087,78.1854521172333,66692.190656,853,2.154040404040404,-1953.6622186494592,0.5282028241962916,-2.29034257754919,0.6035398230088496,90.17026963362831,50946.202343,565,1.4267676767676767,-3332.0368396219374,0.5874348766570323,-5.897410335614048
0xab5487CDE235A4066085A89E610ECea2424cbF5a,0.6763485477178424,26.29217190871369,6336.41343,241,0.6885714285714286,126.29525822039079,0.5429231921452147,0.5240467146074307,0.695364238410596,27.79920123178808,4197.679386,151,0.43142857142857144,-47.39210998629217,0.6540760709148576,-0.31385503302180245
0xCc20f4aEc4f8f00Dd2141A5664ad9F123173B1a4,0.42424242424242425,8.633327075757576,1139.599174,132,0.41904761904761906,-112.64959349583721,0.47134256575557165,-0.8534060113321,0.373134328358209,7.856086104477612,526.357769,67,0.2126984126984127,-126.2113817405763,0.44732716811087603,-1.8837519662772582
0x631060f01a95A36fF11552b70547250c963eEbaD,0.4673913043478261,5.8627859710144925,1618.1289279999999,276,276.0,-157.9163400551192,0.5151141182469444,-0.5721606523736203,0.4797297297297297,7.104285533783783,1051.4342589999999,148,148.0,-173.19403736651955,0.5268344201632165,-1.1702299822062132
0x33B2bFD2C899cF827EFb5AdD079B64ABd9583D6f,0.22719141323792486,221.8687381610018,124024.624632,559,3.122905027932961,1147.5389637447586,0.33082669363011724,2.0528425111713036,0.12693498452012383,95.77490789783282,30935.295251,323,1.8044692737430168,-3428.681776044154,0.12414970837158534,-10.61511385772184
0xF3edc31680b87652f2202a6c300B1DE0cb6a4d80,0.6622516556291391,2.503787735099338,378.071948,151,0.42178770949720673,-120.80707916206123,0.3363411472657879,-0.8000468818679551,0.5,2.51883722,251.883722,100,0.27932960893854747,-246.90549695526977,0.4914047931007296,-2.4690549695526975
0xB9ED5d705FBAe474222501F0F8b148019ee29cE7,0.4539877300613497,25.191635938650304,8212.473316,326,2.4696969696969697,-135.50259193743372,0.4607168545617836,-0.4156521225074654,0.45901639344262296,12.41176613114754,2271.353202,183,1.3863636363636365,-261.7760839862984,0.3548682056806203,-1.4304704042967125
0x56fAdf6A230A023f912FEc84f9A3A4aA1C1eB647,0.2549019607843137,31.202591156862745,3182.664298,102,7.285714285714286,-70.66961977822804,0.5766244672853008,-0.692839409590471,0.34545454545454546,1.905984109090909,104.829126,55,3.9285714285714284,-48.80118330267242,0.4045217174119699,-0.8872942418667713
0xbc5B139C6dB5301355da144D98569C9Ffa0506F5,0.4954954954954955,7.157462108108108,794.478294,111,111.0,-274.9831375053001,0.5062162193930523,-2.4773255631108113,0.5609756097560976,6.872102365853658,563.512394,82,82.0,-225.74873850530008,0.49817073600766837,-2.7530333964060985
0xE3BB739758191119FEa459Fa14dA78498980b937,0.4806973848069738,1.1839623698630137,950.721783,803,160.6,55.45499192719999,0.14487279482781287,0.06905976578729763,0.07673267326732673,1.0184148143564358,411.439585,404,80.8,-278.2843235728,0.12215882900035242,-0.6888225831009901
0x4D97004b53937C1832C6D0c7dC9Cae3f73105cf5,0.5865921787709497,1.9762117094972067,353.741896,179,0.49584487534626037,-115.89796535467318,0.28995998931686057,-0.6474746667858836,0.4146341463414634,1.9320794552845528,237.645773,123,0.3407202216066482,-231.9021692478817,0.4066894803741147,-1.8853834898201762
0x712cdc3822364e9dDC807b05403ad5CceEeA717B,0.5514705882352942,5.771173617647058,1569.759224,272,0.7311827956989247,-95.75057848069339,0.2529227921314393,-0.3520241855907845,0.23076923076923078,7.624698398601399,1090.331871,143,0.3844086021505376,-292.8598461248054,0.3352167869818047,-2.0479709519217164
0xd4EdFfB8226eDECC5BE034D68Ba534a98eCb8Da0,0.525,213.017334025,76686.240249,360,1.0084033613445378,3628.1599768212564,0.6379996571229706,10.078222157836823,0.6564102564102564,184.95907453846152,36067.019535,195,0.5462184873949579,1580.9706632852115,0.7286628859524107,8.107541863001085
0xc81ca4aF1195C4F9fa80889453aB7591CE257888,0.7391304347826086,12.065672352657005,2497.594177,207,0.6831683168316832,-12.882342768618809,0.352318112816839,-0.0622335399450184,0.576271186440678,11.70687772881356,1381.411572,118,0.38943894389438943,-49.93813329461885,0.5772002305004217,-0.42320451944592247
