trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds
0x9A6534bDaC552E7B9c8cca5f3B6A2060ff0a8d8f,0.5424836601307189,167.1746606993464,25577.723087,153,5.884615384615385,815.2180664800003,0.35229062901806324
0xA28DB13092562b77c26B7a4848248Fe0a4D05DAF,0.06741573033707865,1.6499886460674156,293.697979,178,0.37160751565762007,3.231509340526998,0.5774530691348176
0x0e84796655086fdAf6D5621d9D7BF37ccf5BD31c,0.6891495601173021,999.550420914956,340846.693532,341,6.959183673469388,2592.842915390998,0.5002327493408264
0xc4592f60ca12322212e59963d98a0FDEe8317b3f,0.48175182481751827,534.5079490474452,146455.178039,274,6.85,-22601.957527212904,0.5602922633676228
0x617eb137C5f1A445d9a15ef1aC7A75D61BA28Cb2,0.5495049504950495,10.909282425742573,2203.67505,202,11.882352941176471,-153.21111390059966,0.5461525198095794
0x5dd2ADa52e799Bb9e7c5dfeb5cEAF77886A00148,0.08875739644970414,13.624689207100593,2302.5724760000003,169,0.35429769392033544,0.8185180024282156,0.6676211377772026
0x70E54a17B5f42145eE44a1cd3281E8784d90B0d3,0.6622807017543859,21.39936134649123,4879.054387,228,76.0,189.30330228169072,0.1888486010931266
0x397F1eF6b28194fE1EbdC58ee055D97f68b0d7B5,0.6057692307692307,14.43814848076923,3003.134884,208,29.714285714285715,26.519274514123698,0.4830218967134586
0xae2a99372aEee85b18c178e254C5eaBD29ae8D47,0.6124031007751938,980.8546660232558,126530.251917,129,11.727272727272727,15073.24035209064,0.48711202876604287
0x9EF582748baF671EE716075658b870AE747c5D4F,0.45417992963645504,786.5471929628079,4694900.194795,5969,40.33108108108108,-17490.24853886464,0.45937839844677175
0xf5ccB0827bc55ae619c26FF25E704D0cC6640540,0.5819809736989368,114.66083547733632,409797.825996,3574,6.462929475587703,2492.180276132938,0.49102653375549404
0x9056F14E68222f0c3ADF9E1E7bB6273194A70EE9,0.014492753623188406,18.50944579710145,2554.30352,138,3.2093023255813953,98.50546976829278,0.5426632768729416
0xC15ee2976ff748e32f0411Bed82bC69AC995a064,0.5723684210526315,73.377347,11153.356744,152,6.08,-90.6178478187585,0.690123246035188
0x297E42aA0d61E8962977B693486331d4bc1F59B5,0.6754658385093167,10.628321096273293,6844.638786,644,6.851063829787234,354.51689572375636,0.5010133032587979
0x6FF353E318fbD37CB644A9613a8DC67B4e1E1eb8,0.42857142857142855,31.886916268907562,3794.543036,119,0.29528535980148884,16.48185822352585,0.31205879259290953
0x850fcA61a92FCa111615159e187F1A48C896Aad6,0.5202702702702703,233.52015435135135,34560.982844,148,0.34988179669030733,34.93287151603232,0.6060809965834097
