trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,profit_per_trade,win_rate_ignore_sales,avg_trade_size_ignore_sales,total_trade_volume_ignore_sales,total_trade_number_ignore_sales,frequency_ignore_sales,net_gains_loss_ignore_sales,avg_odds_ignore_sales,profit_per_trade_ignore_sales,category_Crypto,category_Economics,category_Other/Misc,category_Politics,category_Pop Culture,category_Sports,kmeans_cluster,hdbscan_cluster,tsne_1,tsne_2
0x0ba6D850FaA4d8B7d52F8344Ef8402f85c8F822a,0.5648854961832062,24.66526193893129,3231.149314,131,3.742857142857143,-109.84022999999998,0.452185082729511,-0.8384750381679388,0.5074626865671642,21.619205373134328,1448.48676,67,1.9142857142857144,-78.31240299999997,0.4988806015012049,-1.1688418358208952,False,False,False,False,False,False,1,-1,-3.887063,-28.456846
0x1598d0BEC16B27b0BcD201a8Dc1bFF8966Efad25,0.4754098360655737,10.170409836065572,1240.79,122,0.324468085106383,-309.986,0.3435573770491803,-2.5408688524590164,0.3050847457627119,12.184542372881356,718.888,59,0.1569148936170212,-545.888,0.3189152542372881,-9.252338983050848,False,False,False,False,False,False,0,14,-69.1171,6.6260643
0xC55d5DADBBc40b1553b694AA58992679F9AC3552,0.5648148148148148,51.96188230555555,5611.883288999999,108,0.2186234817813765,838.9684350000001,0.4397861955656919,7.768226250000001,0.6385542168674698,15.646084759036144,1298.625035,83,0.1680161943319838,946.223813,0.4001969168185989,11.40028690361446,False,False,False,False,False,False,5,-1,12.366356,-22.540648
0x9cBB0E16c6461EAc921636D2903197F2b7538860,0.521978021978022,122.69219703296704,22329.97986,182,0.3847780126849894,-21.271419999999853,0.5091912366070107,-0.1168759340659332,0.7333333333333333,113.40081216666668,10206.073095,90,0.1902748414376321,8164.958607,0.5272977240273399,90.7217623,False,False,False,False,False,False,5,-1,47.278168,-4.847876
0x272Dfe00a850A054b46C3C03C21578A540D0897E,0.5277777777777778,146.2254720888889,26320.584976,180,0.379746835443038,-13.220649999999976,0.5000722215707744,-0.0734480555555554,0.6153846153846154,108.52162005128204,8464.686364,78,0.1645569620253164,3708.860832,0.51774330039214,47.54949784615385,False,False,False,False,False,False,5,-1,45.566887,-4.503928
0xC33Cf9dDb45F0965828FD6e2B0B5C0e346D45870,0.5,10.666230158730158,1343.945,126,0.3423913043478261,-158.97500000000002,0.3368253968253968,-1.2617063492063494,0.3220338983050847,12.7535593220339,752.46,59,0.1603260869565217,-473.46,0.3142881355932203,-8.024745762711865,False,False,False,False,False,False,0,14,-69.199066,6.07402
0xBFaAeC37100D54b70AC9462B06386C3Dc3040852,0.5581395348837209,206.9057023255814,8896.9452,43,21.5,34.197400000000016,0.5188837209302326,0.7952883720930236,0.5652173913043478,198.8858217391304,4574.3739,23,11.5,-379.3739,0.5435217391304348,-16.49451739130435,False,False,False,False,False,False,5,-1,26.560131,4.1387277
0x0597D2d78d48C83a63eb53Dad835EdDAe3A4CDFD,0.5256410256410257,397.46089816987177,124007.800229,312,0.6582278481012658,-41.862261000002086,0.4960842015830055,-0.1341739134615451,0.5773809523809523,318.2695443511905,53469.283451,168,0.3544303797468354,-4144.000983,0.5055055925857855,-24.666672517857144,False,False,False,False,False,False,5,-1,46.563698,9.208659
0x9d600271E5f2F20c9Ddefa7251E4DB41f6FF34c8,0.6384180790960452,35.610409734463275,6303.042523,177,0.4561855670103092,-0.7739640000001063,0.4549786800352582,-0.0043726779661022,0.5869565217391305,37.03213792391305,3406.956689,92,0.2371134020618556,-14.362308000000011,0.5898693934866763,-0.156112043478261,False,False,False,False,False,False,5,23,19.551756,-27.247765
0x43599339e2258f611b17BC8D2E1A60518dcF7d3E,0.6100917431192661,48.4616192293578,10564.632992,218,0.5633074935400517,-19.88060400000005,0.6094887680245558,-0.0911954311926607,0.7181818181818181,50.80464719090909,5588.511191,110,0.2842377260981912,2.793413999999999,0.7086425772470689,0.0253946727272727,False,False,False,False,False,False,3,23,25.339052,-35.467873
